Best after 1999 steps

   > Averages:
   > Pre: 0.45239468479498324 Fit: 0.04482600872474342 Act: 15.419731435651196 Tss: 1488.2015503875969 Num: 516 Size: 467
     - .0000#00#.0##0#0##.1#100010-S : [Fi: 0,31] [Ex: 00007,0] [Pr: 0,46] [PE: 0,26] [AS: 001,0] [Ti: 00288] [Nu: 001] [Pa: 001]
     - .00#00000.11#00#0#.####11##-E : [Fi: 0,27] [Ex: 00009,0] [Pr: 0,00] [PE: 0,00] [AS: 018,2] [Ti: 01571] [Nu: 001] [Pa: 001]
     - .#0000#0#.#1##0##0.#11###1#-S : [Fi: 0,25] [Ex: 00015,0] [Pr: 0,11] [PE: 0,10] [AS: 007,4] [Ti: 01533] [Nu: 001] [Pa: 001]
     - .1##0000#.#00#00#0.101010##-S : [Fi: 0,24] [Ex: 00024,0] [Pr: 0,90] [PE: 0,11] [AS: 007,7] [Ti: 01945] [Nu: 002] [Pa: 001]
     - .00#00###.#00##0##.1#11##11-E : [Fi: 0,21] [Ex: 00021,0] [Pr: 0,82] [PE: 0,16] [AS: 018,6] [Ti: 01983] [Nu: 002] [Pa: 001]
     - .00000000.10##0010.1#10####-S : [Fi: 0,18] [Ex: 00011,0] [Pr: 0,87] [PE: 0,12] [AS: 009,3] [Ti: 01840] [Nu: 001] [Pa: 001]
     - .#000001#.####00##.1#1##11#-N : [Fi: 0,17] [Ex: 00025,0] [Pr: 0,91] [PE: 0,13] [AS: 006,5] [Ti: 01987] [Nu: 002] [Pa: 001]
     - .#000001#.##0#00##.1#1##11#-N : [Fi: 0,17] [Ex: 00012,0] [Pr: 0,90] [PE: 0,11] [AS: 007,0] [Ti: 01987] [Nu: 001] [Pa: 001]
     - .00#000#0.##1#####.####1#1#-E : [Fi: 0,16] [Ex: 00004,0] [Pr: 0,07] [PE: 0,04] [AS: 008,8] [Ti: 01861] [Nu: 001] [Pa: 001]
     - .00000##0.#00#####.10#11#11-S : [Fi: 0,15] [Ex: 00057,0] [Pr: 0,67] [PE: 0,35] [AS: 018,9] [Ti: 01972] [Nu: 001] [Pa: 001]
     - .###00000.1#0#0010.#0101011-N : [Fi: 0,15] [Ex: 00003,0] [Pr: 0,02] [PE: 0,01] [AS: 001,7] [Ti: 00322] [Nu: 001] [Pa: 001]
     - .##0##0##.##00#01#.11#0101#-W : [Fi: 0,15] [Ex: 00003,0] [Pr: 0,88] [PE: 0,08] [AS: 004,0] [Ti: 01926] [Nu: 001] [Pa: 001]
     - .#0#0##0#.00001011.##101#1#-N : [Fi: 0,15] [Ex: 00003,0] [Pr: 0,10] [PE: 0,07] [AS: 003,0] [Ti: 01282] [Nu: 001] [Pa: 001]
     - .00##0#0#.10#00###.###010#0-S : [Fi: 0,15] [Ex: 00008,0] [Pr: 0,80] [PE: 0,20] [AS: 004,5] [Ti: 01829] [Nu: 002] [Pa: 001]
     - .00000000.#0###000.1#101###-N : [Fi: 0,15] [Ex: 00009,0] [Pr: 0,90] [PE: 0,09] [AS: 020,6] [Ti: 01946] [Nu: 001] [Pa: 001]
     - .0#000000.11######.1010#0#1-N : [Fi: 0,14] [Ex: 00004,0] [Pr: 0,45] [PE: 0,12] [AS: 003,2] [Ti: 01803] [Nu: 001] [Pa: 001]
     - .0#000###.100#00##.1#11###1-E : [Fi: 0,14] [Ex: 00012,0] [Pr: 0,94] [PE: 0,06] [AS: 023,8] [Ti: 01983] [Nu: 001] [Pa: 001]
     - .#000001#.##0#00##.101##111-N : [Fi: 0,14] [Ex: 00005,0] [Pr: 0,84] [PE: 0,12] [AS: 007,4] [Ti: 01987] [Nu: 001] [Pa: 001]
     - .000###00.110010#0.#0101011-N : [Fi: 0,14] [Ex: 00005,0] [Pr: 0,20] [PE: 0,08] [AS: 007,2] [Ti: 00976] [Nu: 001] [Pa: 001]
     - .0##0##00.#0#01#10.1010##11-S : [Fi: 0,14] [Ex: 00005,0] [Pr: 0,78] [PE: 0,15] [AS: 002,8] [Ti: 01893] [Nu: 001] [Pa: 001]
     - .#00#0000.1##00011.#0#0#11#-N : [Fi: 0,13] [Ex: 00005,0] [Pr: 0,21] [PE: 0,19] [AS: 004,4] [Ti: 01993] [Nu: 001] [Pa: 001]
     - .00000000.#00###00.10111#11-N : [Fi: 0,13] [Ex: 00016,0] [Pr: 0,91] [PE: 0,10] [AS: 028,8] [Ti: 01964] [Nu: 001] [Pa: 001]
     - .0#000000.#1###0#0.1#10###1-E : [Fi: 0,13] [Ex: 00015,0] [Pr: 0,08] [PE: 0,11] [AS: 013,5] [Ti: 01984] [Nu: 001] [Pa: 001]
     - .##00000#.##000011.1#101011-S : [Fi: 0,13] [Ex: 00003,0] [Pr: 0,01] [PE: 0,01] [AS: 003,7] [Ti: 01979] [Nu: 001] [Pa: 001]
     - .1##000##.##0#00#0.##1010##-N : [Fi: 0,13] [Ex: 00003,0] [Pr: 0,14] [PE: 0,02] [AS: 004,7] [Ti: 01990] [Nu: 001] [Pa: 001]
     - .0000000#.###0#001.10##1#1#-W : [Fi: 0,13] [Ex: 00003,0] [Pr: 0,30] [PE: 0,10] [AS: 016,3] [Ti: 01992] [Nu: 001] [Pa: 001]
     - .##0#00##.#00#####.1011111#-W : [Fi: 0,13] [Ex: 00007,0] [Pr: 0,76] [PE: 0,19] [AS: 013,4] [Ti: 01994] [Nu: 001] [Pa: 001]
     - .1#000#00.0000###0.#010#0#1-W : [Fi: 0,12] [Ex: 00005,0] [Pr: 0,57] [PE: 0,26] [AS: 002,8] [Ti: 01952] [Nu: 002] [Pa: 001]
     - .#0####0#.#00000#1.##1##001-E : [Fi: 0,12] [Ex: 00005,0] [Pr: 0,00] [PE: 0,00] [AS: 011,8] [Ti: 01962] [Nu: 001] [Pa: 001]
     - .#00000#0.11##0#00.1#101111-W : [Fi: 0,12] [Ex: 00013,0] [Pr: 0,18] [PE: 0,16] [AS: 010,4] [Ti: 01509] [Nu: 001] [Pa: 001]
     - .00000000.#0##00#0.1##0##10-N : [Fi: 0,11] [Ex: 00008,0] [Pr: 0,65] [PE: 0,27] [AS: 006,0] [Ti: 01922] [Nu: 001] [Pa: 001]
     - .0#00#0##.0#00#011.1#1#1#1#-E : [Fi: 0,11] [Ex: 00005,0] [Pr: 0,00] [PE: 0,00] [AS: 018,0] [Ti: 01962] [Nu: 001] [Pa: 001]
     - .###000##.#0##00#0.101010##-S : [Fi: 0,11] [Ex: 00013,0] [Pr: 0,74] [PE: 0,24] [AS: 011,2] [Ti: 01945] [Nu: 002] [Pa: 001]
     - .#0000000.#00#0000.1#1#####-S : [Fi: 0,11] [Ex: 00016,0] [Pr: 0,94] [PE: 0,09] [AS: 022,1] [Ti: 01945] [Nu: 001] [Pa: 001]
     - .0000#000.##000000.1#11#1#1-E : [Fi: 0,11] [Ex: 00016,0] [Pr: 1,00] [PE: 0,00] [AS: 028,1] [Ti: 01945] [Nu: 001] [Pa: 001]
     - .#00000##.10#0#0##.1##01011-N : [Fi: 0,11] [Ex: 00029,0] [Pr: 0,67] [PE: 0,32] [AS: 015,1] [Ti: 01879] [Nu: 001] [Pa: 001]
     - .###0#00#.##11110#.10101#10-N : [Fi: 0,11] [Ex: 00002,0] [Pr: 0,02] [PE: 0,01] [AS: 001,0] [Ti: 00035] [Nu: 001] [Pa: 001]
     - .00000000.###00##0.#1100010-E : [Fi: 0,11] [Ex: 00002,0] [Pr: 0,22] [PE: 0,11] [AS: 001,0] [Ti: 00144] [Nu: 002] [Pa: 001]
     - .00#000##.00#01##0.1#100011-N : [Fi: 0,11] [Ex: 00002,0] [Pr: 0,72] [PE: 0,14] [AS: 001,0] [Ti: 01246] [Nu: 001] [Pa: 001]
     - .0000000#.#000#0#1.10101010-E : [Fi: 0,11] [Ex: 00002,0] [Pr: 0,57] [PE: 0,06] [AS: 001,0] [Ti: 00337] [Nu: 001] [Pa: 001]
     - .00#0###0.1#101011.10101011-S : [Fi: 0,11] [Ex: 00002,0] [Pr: 0,02] [PE: 0,01] [AS: 001,0] [Ti: 00268] [Nu: 001] [Pa: 001]
     - .00######.100010##.#0#01110-E : [Fi: 0,11] [Ex: 00002,0] [Pr: 0,50] [PE: 0,25] [AS: 001,0] [Ti: 00344] [Nu: 002] [Pa: 001]
     - .#0#0#0##.##00#01#.1#1#1010-S : [Fi: 0,11] [Ex: 00002,0] [Pr: 0,01] [PE: 0,00] [AS: 001,0] [Ti: 01235] [Nu: 002] [Pa: 001]
     - .10##0000.1100100#.101#1011-N : [Fi: 0,11] [Ex: 00002,0] [Pr: 0,88] [PE: 0,06] [AS: 001,0] [Ti: 00968] [Nu: 001] [Pa: 001]
     - .#0000000.10#0###1.1#1#1010-E : [Fi: 0,11] [Ex: 00002,0] [Pr: 0,12] [PE: 0,06] [AS: 001,0] [Ti: 01591] [Nu: 001] [Pa: 001]
     - .1#0#0000.1#0##00#.0011111#-S : [Fi: 0,11] [Ex: 00002,0] [Pr: 0,51] [PE: 0,25] [AS: 001,0] [Ti: 01577] [Nu: 001] [Pa: 001]
     - .#0#01000.11#0#00#.1#1#10##-S : [Fi: 0,11] [Ex: 00002,0] [Pr: 1,00] [PE: 0,00] [AS: 001,0] [Ti: 01790] [Nu: 002] [Pa: 001]
     - .0000#00#.100#0#11.#1#0101#-E : [Fi: 0,11] [Ex: 00002,0] [Pr: 0,85] [PE: 0,08] [AS: 001,0] [Ti: 01705] [Nu: 001] [Pa: 001]
     - .#00###0#.10##1#10.10###01#-S : [Fi: 0,11] [Ex: 00002,0] [Pr: 1,00] [PE: 0,00] [AS: 001,0] [Ti: 01795] [Nu: 001] [Pa: 001]
     - .11#0##00.0#001111.10101#1#-S : [Fi: 0,11] [Ex: 00002,0] [Pr: 0,87] [PE: 0,07] [AS: 001,0] [Ti: 01799] [Nu: 001] [Pa: 001]
     - .00#010##.1100####.1#1111#1-W : [Fi: 0,11] [Ex: 00002,0] [Pr: 1,00] [PE: 0,00] [AS: 001,5] [Ti: 01584] [Nu: 001] [Pa: 001]
     - .#1#0000#.00#000#0.#0#11111-N : [Fi: 0,11] [Ex: 00002,0] [Pr: 1,00] [PE: 0,00] [AS: 002,0] [Ti: 01309] [Nu: 001] [Pa: 001]
     - .#0000000.0#0000##.10101010-S : [Fi: 0,11] [Ex: 00002,0] [Pr: 0,13] [PE: 0,06] [AS: 003,0] [Ti: 00622] [Nu: 001] [Pa: 001]
     - .0#00#000.#0101100.10101011-S : [Fi: 0,11] [Ex: 00002,0] [Pr: 0,00] [PE: 0,00] [AS: 003,0] [Ti: 01290] [Nu: 001] [Pa: 001]
     - .#000####.###010#0.1#101010-N : [Fi: 0,11] [Ex: 00002,0] [Pr: 0,12] [PE: 0,06] [AS: 003,5] [Ti: 01711] [Nu: 001] [Pa: 001]
     - .1##0#0#0.#0#0#0#0.10101#11-E : [Fi: 0,11] [Ex: 00002,0] [Pr: 0,25] [PE: 0,10] [AS: 001,5] [Ti: 01717] [Nu: 001] [Pa: 001]
