Best after 1999 steps

   > Averages:
   > Pre: 0.1699428647717173 Fit: 0.044120540966270064 Act: 12.834865963495627 Tss: 1362.2519379844962 Num: 516 Size: 474
     - .#####00#.#00#001#.11#00#10-S : [Fi: 0,23] [Ex: 00005,0] [Pr: 0,00] [PE: 0,00] [AS: 001,0] [Ti: 00085] [Nu: 001] [Pa: 001]
     - .0#00#010.#00#0###.####1#1#-E : [Fi: 0,21] [Ex: 00007,0] [Pr: 0,95] [PE: 0,04] [AS: 006,4] [Ti: 01991] [Nu: 001] [Pa: 001]
     - .#0000000.#0000000.##1#1#1#-N : [Fi: 0,19] [Ex: 00009,0] [Pr: 0,07] [PE: 0,04] [AS: 010,1] [Ti: 01960] [Nu: 001] [Pa: 001]
     - .00##00##.1#0#101#.1###0#10-E : [Fi: 0,17] [Ex: 00006,0] [Pr: 0,00] [PE: 0,00] [AS: 002,0] [Ti: 00933] [Nu: 001] [Pa: 001]
     - .0#####00.########.##10##1#-N : [Fi: 0,16] [Ex: 00029,0] [Pr: 0,38] [PE: 0,25] [AS: 012,6] [Ti: 01976] [Nu: 001] [Pa: 001]
     - .00#00#00.##00100#.101##0#1-N : [Fi: 0,16] [Ex: 00017,0] [Pr: 0,02] [PE: 0,02] [AS: 013,2] [Ti: 01682] [Nu: 001] [Pa: 001]
     - .0#00#0#0.10##1#1#.10###011-E : [Fi: 0,16] [Ex: 00007,0] [Pr: 0,00] [PE: 0,00] [AS: 004,4] [Ti: 00471] [Nu: 001] [Pa: 001]
     - .##0000#1.000#00##.10#11##1-E : [Fi: 0,15] [Ex: 00005,0] [Pr: 0,29] [PE: 0,03] [AS: 002,6] [Ti: 01993] [Nu: 002] [Pa: 001]
     - .000000#0.##0000##.1#1#####-N : [Fi: 0,15] [Ex: 00008,0] [Pr: 0,02] [PE: 0,02] [AS: 025,0] [Ti: 01960] [Nu: 001] [Pa: 001]
     - .0#000000.11000#00.00#1#111-S : [Fi: 0,15] [Ex: 00003,0] [Pr: 0,05] [PE: 0,04] [AS: 002,0] [Ti: 01720] [Nu: 001] [Pa: 001]
