Best after 1999 steps

   > Averages:
   > Pre: 0.21983034004072086 Fit: 0.14133872571801062 Act: 6.285131183764184 Tss: 1147.9941860465117 Num: 516 Size: 469
     - .100##0#0.00001000.#0#0#01#-W : [Fi: 0,74] [Ex: 00006,0] [Pr: 0,25] [PE: 0,04] [AS: 001,0] [Ti: 01741] [Nu: 001] [Pa: 001]
     - .####001#.0##000##.#0###110-W : [Fi: 0,68] [Ex: 00008,0] [Pr: 1,00] [PE: 0,00] [AS: 001,8] [Ti: 00659] [Nu: 001] [Pa: 001]
     - .#0##000#.110#0##0.1110111#-N : [Fi: 0,65] [Ex: 00011,0] [Pr: 0,04] [PE: 0,01] [AS: 006,2] [Ti: 01364] [Nu: 001] [Pa: 001]
     - .#000##00.#0##1##0.1110#11#-S : [Fi: 0,60] [Ex: 00007,0] [Pr: 0,03] [PE: 0,02] [AS: 001,8] [Ti: 01622] [Nu: 001] [Pa: 001]
     - .0000##00.#0100000.#110#1#1-N : [Fi: 0,50] [Ex: 00010,0] [Pr: 0,02] [PE: 0,01] [AS: 002,6] [Ti: 00746] [Nu: 001] [Pa: 001]
     - .1100##00.0#00#0#1.###011#1-N : [Fi: 0,49] [Ex: 00003,0] [Pr: 1,00] [PE: 0,00] [AS: 001,0] [Ti: 00911] [Nu: 001] [Pa: 001]
     - .10000000.1100000#.###11#11-W : [Fi: 0,49] [Ex: 00003,0] [Pr: 0,13] [PE: 0,02] [AS: 001,0] [Ti: 01056] [Nu: 001] [Pa: 001]
     - .00000011.0##1###0.1#101#1#-E : [Fi: 0,49] [Ex: 00003,0] [Pr: 1,00] [PE: 0,00] [AS: 001,7] [Ti: 01815] [Nu: 001] [Pa: 001]
     - .000000#0.0#1100#0.10101###-N : [Fi: 0,49] [Ex: 00003,0] [Pr: 0,11] [PE: 0,03] [AS: 002,3] [Ti: 01105] [Nu: 001] [Pa: 001]
     - .##00#011.#000###0.11101#11-W : [Fi: 0,49] [Ex: 00017,0] [Pr: 1,00] [PE: 0,00] [AS: 006,8] [Ti: 01605] [Nu: 003] [Pa: 001]
     - .00000000.#0#0##1#.1#1010##-S : [Fi: 0,48] [Ex: 00005,0] [Pr: 0,13] [PE: 0,02] [AS: 002,8] [Ti: 01809] [Nu: 001] [Pa: 001]
     - .11000#00.00001#00.101#1#11-N : [Fi: 0,47] [Ex: 00007,0] [Pr: 1,00] [PE: 0,00] [AS: 002,0] [Ti: 01757] [Nu: 001] [Pa: 001]
     - .1#00#0##.#01###00.1##0#11#-S : [Fi: 0,47] [Ex: 00004,0] [Pr: 0,57] [PE: 0,29] [AS: 001,5] [Ti: 01124] [Nu: 001] [Pa: 001]
     - .00000000.1##0####.#01#####-N : [Fi: 0,46] [Ex: 00003,0] [Pr: 0,13] [PE: 0,01] [AS: 012,3] [Ti: 01744] [Nu: 001] [Pa: 001]
     - .#00000#0.#0##1###.#11#0#11-N : [Fi: 0,44] [Ex: 00003,0] [Pr: 0,26] [PE: 0,03] [AS: 002,3] [Ti: 01783] [Nu: 001] [Pa: 001]
     - .#0#000#0.00##1##1.111#0#11-N : [Fi: 0,42] [Ex: 00011,0] [Pr: 0,19] [PE: 0,01] [AS: 002,3] [Ti: 01681] [Nu: 002] [Pa: 001]
     - .00000000.1###1##0.1##01###-N : [Fi: 0,41] [Ex: 00010,0] [Pr: 0,08] [PE: 0,02] [AS: 008,0] [Ti: 01461] [Nu: 002] [Pa: 001]
     - .0##0#000.000##1##.10#0#0##-E : [Fi: 0,40] [Ex: 00004,0] [Pr: 0,04] [PE: 0,02] [AS: 004,8] [Ti: 01214] [Nu: 001] [Pa: 001]
     - .##000000.0##01#00.#01110#1-E : [Fi: 0,39] [Ex: 00003,0] [Pr: 0,01] [PE: 0,00] [AS: 001,3] [Ti: 00327] [Nu: 001] [Pa: 001]
     - .0#0#0011.#010#000.11##1#1#-S : [Fi: 0,39] [Ex: 00003,0] [Pr: 1,00] [PE: 0,00] [AS: 001,3] [Ti: 01462] [Nu: 002] [Pa: 001]
     - .0##00011.1##01000.1010101#-S : [Fi: 0,39] [Ex: 00003,0] [Pr: 1,00] [PE: 0,00] [AS: 001,7] [Ti: 01756] [Nu: 001] [Pa: 001]
     - .11#0####.110#0###.##101#11-W : [Fi: 0,39] [Ex: 00003,0] [Pr: 1,00] [PE: 0,00] [AS: 003,3] [Ti: 01755] [Nu: 001] [Pa: 001]
     - .00000#00.1000001#.10##11#1-N : [Fi: 0,39] [Ex: 00003,0] [Pr: 0,02] [PE: 0,01] [AS: 009,3] [Ti: 01026] [Nu: 001] [Pa: 001]
     - .#100000#.1#0#0#00.##101011-N : [Fi: 0,38] [Ex: 00004,0] [Pr: 1,00] [PE: 0,00] [AS: 003,0] [Ti: 01226] [Nu: 001] [Pa: 001]
     - .1##00#00.###0####.1#1010#1-S : [Fi: 0,38] [Ex: 00002,0] [Pr: 0,17] [PE: 0,01] [AS: 004,0] [Ti: 01803] [Nu: 001] [Pa: 001]
     - .0#0###00.1##0##00.11###111-S : [Fi: 0,37] [Ex: 00002,0] [Pr: 0,21] [PE: 0,01] [AS: 003,0] [Ti: 01792] [Nu: 001] [Pa: 001]
     - .00#0#00#.1#00###1.#0101##0-N : [Fi: 0,37] [Ex: 00002,0] [Pr: 0,01] [PE: 0,00] [AS: 001,0] [Ti: 00036] [Nu: 001] [Pa: 001]
     - .00#000#0.10##1###.10######-E : [Fi: 0,37] [Ex: 00002,0] [Pr: 0,01] [PE: 0,00] [AS: 001,0] [Ti: 00052] [Nu: 001] [Pa: 001]
     - .0000000#.0#00#011.101#1010-N : [Fi: 0,37] [Ex: 00002,0] [Pr: 0,01] [PE: 0,00] [AS: 001,0] [Ti: 00055] [Nu: 001] [Pa: 001]
     - .##0010#0.000##011.##101#10-W : [Fi: 0,37] [Ex: 00002,0] [Pr: 0,69] [PE: 0,01] [AS: 001,0] [Ti: 00371] [Nu: 001] [Pa: 001]
     - .0010#000.0#0000#0.111#1111-E : [Fi: 0,37] [Ex: 00002,0] [Pr: 0,04] [PE: 0,01] [AS: 001,0] [Ti: 00740] [Nu: 001] [Pa: 001]
     - .10000000.#0000#11.11###0##-N : [Fi: 0,37] [Ex: 00002,0] [Pr: 0,12] [PE: 0,02] [AS: 001,0] [Ti: 00801] [Nu: 002] [Pa: 001]
     - .####0000.#0001110.1#1#101#-W : [Fi: 0,37] [Ex: 00002,0] [Pr: 0,12] [PE: 0,00] [AS: 001,0] [Ti: 00752] [Nu: 001] [Pa: 001]
     - .0000#0#0.0#001000.101#1011-E : [Fi: 0,37] [Ex: 00002,0] [Pr: 0,03] [PE: 0,00] [AS: 001,0] [Ti: 00771] [Nu: 001] [Pa: 001]
     - .0###11#0.0#1#0011.11#0##1#-N : [Fi: 0,37] [Ex: 00002,0] [Pr: 1,00] [PE: 0,00] [AS: 001,0] [Ti: 00807] [Nu: 001] [Pa: 001]
