Best after 1999 steps

   > Averages:
   > Pre: 0.47536722835830614 Fit: 0.09073204824976938 Act: 9.706011218386143 Tss: 1349.7558139534883 Num: 516 Size: 472
     - .00#01100.#0000#00.1110#1#1-S : [Fi: 0,57] [Ex: 00008,0] [Pr: 1,00] [PE: 0,00] [AS: 001,0] [Ti: 01911] [Nu: 001] [Pa: 001]
     - .0#1#0000.1000#01#.#110##1#-N : [Fi: 0,53] [Ex: 00010,0] [Pr: 1,00] [PE: 0,00] [AS: 001,5] [Ti: 00751] [Nu: 001] [Pa: 001]
     - .##00001#.001#0#10.#110101#-N : [Fi: 0,42] [Ex: 00006,0] [Pr: 1,00] [PE: 0,00] [AS: 001,2] [Ti: 01835] [Nu: 001] [Pa: 001]
     - .00##0#10.0#000#10.1011##1#-N : [Fi: 0,39] [Ex: 00006,0] [Pr: 1,00] [PE: 0,00] [AS: 001,5] [Ti: 01606] [Nu: 001] [Pa: 001]
     - .0000001#.#0#0##0#.##0#11#1-N : [Fi: 0,38] [Ex: 00014,0] [Pr: 1,00] [PE: 0,00] [AS: 003,9] [Ti: 01942] [Nu: 002] [Pa: 001]
     - .00000000.1#00#00#.#011#111-N : [Fi: 0,38] [Ex: 00012,0] [Pr: 0,22] [PE: 0,02] [AS: 022,7] [Ti: 01970] [Nu: 001] [Pa: 001]
     - .00#00#1#.#00#00##.1#101##1-E : [Fi: 0,37] [Ex: 00008,0] [Pr: 1,00] [PE: 0,00] [AS: 002,4] [Ti: 01686] [Nu: 001] [Pa: 001]
     - .0000#0##.#0000#00.101010#1-S : [Fi: 0,36] [Ex: 00007,0] [Pr: 0,15] [PE: 0,12] [AS: 001,9] [Ti: 01363] [Nu: 002] [Pa: 001]
     - .000##0#0.1#100#10.11#0##10-N : [Fi: 0,36] [Ex: 00006,0] [Pr: 0,52] [PE: 0,14] [AS: 004,0] [Ti: 01229] [Nu: 001] [Pa: 001]
     - .#100#0#0.0###0#11.####1#1#-N : [Fi: 0,35] [Ex: 00007,0] [Pr: 1,00] [PE: 0,00] [AS: 004,6] [Ti: 01852] [Nu: 001] [Pa: 001]
     - .00#00#00.#0#000##.111##010-S : [Fi: 0,35] [Ex: 00004,0] [Pr: 0,09] [PE: 0,02] [AS: 001,0] [Ti: 00732] [Nu: 001] [Pa: 001]
     - .00#00000.101##0##.1#0##11#-E : [Fi: 0,35] [Ex: 00004,0] [Pr: 0,24] [PE: 0,03] [AS: 001,0] [Ti: 01499] [Nu: 001] [Pa: 001]
     - .1#000000.##00#0#0.###0##1#-E : [Fi: 0,35] [Ex: 00024,0] [Pr: 1,00] [PE: 0,00] [AS: 004,2] [Ti: 01997] [Nu: 001] [Pa: 001]
     - .1#0#0#00.0##0#000.#1#01#1#-N : [Fi: 0,34] [Ex: 00022,0] [Pr: 1,00] [PE: 0,00] [AS: 008,3] [Ti: 01594] [Nu: 002] [Pa: 001]
     - .0000#1##.00##0010.#110101#-N : [Fi: 0,30] [Ex: 00004,0] [Pr: 1,00] [PE: 0,00] [AS: 001,2] [Ti: 01028] [Nu: 002] [Pa: 001]
     - .#01000#0.100#00#0.11101010-N : [Fi: 0,29] [Ex: 00006,0] [Pr: 1,00] [PE: 0,00] [AS: 002,2] [Ti: 00824] [Nu: 001] [Pa: 001]
     - .000##00#.000##010.1#1###11-S : [Fi: 0,28] [Ex: 00004,0] [Pr: 0,01] [PE: 0,00] [AS: 001,5] [Ti: 00170] [Nu: 001] [Pa: 001]
     - .00000000.##001##0.101##1##-E : [Fi: 0,28] [Ex: 00008,0] [Pr: 0,25] [PE: 0,10] [AS: 011,6] [Ti: 01627] [Nu: 001] [Pa: 001]
     - .0##000##.0#0#0#0#.11##1#1#-S : [Fi: 0,28] [Ex: 00010,0] [Pr: 0,03] [PE: 0,02] [AS: 004,1] [Ti: 01160] [Nu: 001] [Pa: 001]
     - .100#000#.10000010.1#1010##-N : [Fi: 0,28] [Ex: 00005,0] [Pr: 1,00] [PE: 0,00] [AS: 001,6] [Ti: 00747] [Nu: 002] [Pa: 001]
     - .0000##11.001####0.1#1##010-S : [Fi: 0,28] [Ex: 00005,0] [Pr: 1,00] [PE: 0,00] [AS: 001,6] [Ti: 01804] [Nu: 002] [Pa: 001]
     - .#0##0000.##10#00#.#1101011-W : [Fi: 0,28] [Ex: 00003,0] [Pr: 0,01] [PE: 0,00] [AS: 001,0] [Ti: 00146] [Nu: 001] [Pa: 001]
     - .##0#000#.100#0##1.#010####-W : [Fi: 0,28] [Ex: 00003,0] [Pr: 0,43] [PE: 0,11] [AS: 001,0] [Ti: 01699] [Nu: 001] [Pa: 001]
     - .#00#11#0.##100010.11##1##0-N : [Fi: 0,28] [Ex: 00003,0] [Pr: 1,00] [PE: 0,00] [AS: 001,3] [Ti: 01060] [Nu: 001] [Pa: 001]
     - .000#00##.11000000.0##111##-E : [Fi: 0,27] [Ex: 00007,0] [Pr: 0,07] [PE: 0,01] [AS: 003,0] [Ti: 01167] [Nu: 001] [Pa: 001]
     - .0##00#00.11000000.0#11111#-E : [Fi: 0,27] [Ex: 00007,0] [Pr: 0,07] [PE: 0,01] [AS: 003,0] [Ti: 01167] [Nu: 001] [Pa: 001]
     - .00000000.0##0#000.###01#11-S : [Fi: 0,27] [Ex: 00003,0] [Pr: 0,18] [PE: 0,01] [AS: 021,0] [Ti: 01780] [Nu: 001] [Pa: 001]
     - .##001000.10#00##0.11101#10-N : [Fi: 0,26] [Ex: 00016,0] [Pr: 1,00] [PE: 0,00] [AS: 005,3] [Ti: 01647] [Nu: 001] [Pa: 001]
     - .00000000.00100#10.11101#1#-N : [Fi: 0,26] [Ex: 00010,0] [Pr: 0,29] [PE: 0,09] [AS: 016,4] [Ti: 01835] [Nu: 001] [Pa: 001]
     - .0##01#00.#000####.#0101#11-S : [Fi: 0,26] [Ex: 00015,0] [Pr: 1,00] [PE: 0,00] [AS: 003,7] [Ti: 01965] [Nu: 003] [Pa: 001]
     - .##00001#.001#0##0.#1#0101#-N : [Fi: 0,26] [Ex: 00003,0] [Pr: 1,00] [PE: 0,00] [AS: 001,3] [Ti: 01835] [Nu: 001] [Pa: 001]
     - .00000#00.1###000#.#1#01#11-W : [Fi: 0,24] [Ex: 00007,0] [Pr: 0,01] [PE: 0,00] [AS: 002,9] [Ti: 00086] [Nu: 001] [Pa: 001]
     - .#0#000#0.#10#00##.###01##0-N : [Fi: 0,24] [Ex: 00012,0] [Pr: 0,62] [PE: 0,27] [AS: 006,3] [Ti: 01535] [Nu: 001] [Pa: 001]
     - .#0#0000#.1##01###.1010#110-N : [Fi: 0,23] [Ex: 00005,0] [Pr: 0,55] [PE: 0,29] [AS: 002,0] [Ti: 00675] [Nu: 001] [Pa: 001]
     - .00000000.110##0##.1#101##1-S : [Fi: 0,23] [Ex: 00003,0] [Pr: 0,01] [PE: 0,00] [AS: 001,3] [Ti: 00056] [Nu: 001] [Pa: 001]
     - .##1#000#.110000##.10111011-S : [Fi: 0,23] [Ex: 00003,0] [Pr: 1,00] [PE: 0,00] [AS: 001,3] [Ti: 00458] [Nu: 001] [Pa: 001]
     - .0#00#010.#10#1###.#01####1-N : [Fi: 0,23] [Ex: 00003,0] [Pr: 1,00] [PE: 0,00] [AS: 001,3] [Ti: 01616] [Nu: 003] [Pa: 001]
     - .#0#0##1#.11000000.1010####-N : [Fi: 0,23] [Ex: 00003,0] [Pr: 1,00] [PE: 0,00] [AS: 001,7] [Ti: 01966] [Nu: 001] [Pa: 001]
     - .000#001#.1#000##0.#11####0-N : [Fi: 0,23] [Ex: 00020,0] [Pr: 1,00] [PE: 0,00] [AS: 004,6] [Ti: 01716] [Nu: 002] [Pa: 001]
     - .0#000#00.0##0#000.11#0#1#1-W : [Fi: 0,22] [Ex: 00005,0] [Pr: 0,08] [PE: 0,05] [AS: 002,6] [Ti: 01788] [Nu: 002] [Pa: 001]
     - .1#0#0#00.0####0#0.#11#1###-N : [Fi: 0,22] [Ex: 00007,0] [Pr: 1,00] [PE: 0,00] [AS: 003,9] [Ti: 01837] [Nu: 003] [Pa: 001]
     - .#0000#1#.10#00011.1#10101#-N : [Fi: 0,22] [Ex: 00004,0] [Pr: 1,00] [PE: 0,00] [AS: 002,0] [Ti: 00907] [Nu: 002] [Pa: 001]
     - .000#001#.#0000#0#.##0#11#1-N : [Fi: 0,22] [Ex: 00009,0] [Pr: 1,00] [PE: 0,00] [AS: 005,3] [Ti: 01942] [Nu: 001] [Pa: 001]
     - .1#0000##.100#0##0.1##0##1#-N : [Fi: 0,22] [Ex: 00016,0] [Pr: 1,00] [PE: 0,00] [AS: 007,2] [Ti: 01714] [Nu: 001] [Pa: 001]
     - .##00100#.10#0###0.11101#10-N : [Fi: 0,22] [Ex: 00011,0] [Pr: 1,00] [PE: 0,00] [AS: 006,0] [Ti: 01647] [Nu: 001] [Pa: 001]
     - .1#000000.100010##.11#0#010-N : [Fi: 0,21] [Ex: 00003,0] [Pr: 1,00] [PE: 0,00] [AS: 003,0] [Ti: 01649] [Nu: 001] [Pa: 001]
     - .10#000#0.##00#0#0.###0##1#-E : [Fi: 0,21] [Ex: 00012,0] [Pr: 1,00] [PE: 0,00] [AS: 004,6] [Ti: 01997] [Nu: 001] [Pa: 001]
