Best after 1999 steps

   > Averages:
   > Pre: 0.10953121833760417 Fit: 0.05832411357087324 Act: 3.6280314386369947 Tss: 1316.126213592233 Num: 515 Size: 494
     - .0000##00.###010#0.1##00000-N : [Fi: 0,29] [Ex: 00011,0] [Pr: 0,04] [PE: 0,01] [AS: 002,8] [Ti: 01764] [Nu: 001] [Pa: 001]
     - .##0##000.100#00##.001000#0-S : [Fi: 0,21] [Ex: 00012,0] [Pr: 0,04] [PE: 0,01] [AS: 010,9] [Ti: 01930] [Nu: 001] [Pa: 001]
     - .000#0000.###0####.#0####0#-W : [Fi: 0,21] [Ex: 00009,0] [Pr: 0,04] [PE: 0,01] [AS: 007,6] [Ti: 01993] [Nu: 001] [Pa: 001]
     - .0000##00.0##010#0.1##00000-N : [Fi: 0,21] [Ex: 00018,0] [Pr: 0,06] [PE: 0,03] [AS: 002,0] [Ti: 01764] [Nu: 001] [Pa: 001]
     - .000#00#0.##1#1#00.#0###0##-W : [Fi: 0,19] [Ex: 00008,0] [Pr: 0,04] [PE: 0,01] [AS: 004,0] [Ti: 01821] [Nu: 001] [Pa: 001]
     - .0#00###0.#0####00.######0#-S : [Fi: 0,19] [Ex: 00028,0] [Pr: 0,05] [PE: 0,01] [AS: 015,4] [Ti: 01983] [Nu: 003] [Pa: 001]
     - .0000#000.#0###0#0.##0###0#-S : [Fi: 0,17] [Ex: 00024,0] [Pr: 0,05] [PE: 0,01] [AS: 014,3] [Ti: 01983] [Nu: 001] [Pa: 001]
     - .0#0000#0.0##01#1#.1###0###-W : [Fi: 0,17] [Ex: 00011,0] [Pr: 0,07] [PE: 0,01] [AS: 007,3] [Ti: 01903] [Nu: 001] [Pa: 001]
     - .00000000.##0##0##.##00##1#-N : [Fi: 0,17] [Ex: 00012,0] [Pr: 0,08] [PE: 0,03] [AS: 004,3] [Ti: 01969] [Nu: 001] [Pa: 001]
     - .0#00#000.##0000##.00#0#000-S : [Fi: 0,17] [Ex: 00019,0] [Pr: 0,05] [PE: 0,01] [AS: 012,6] [Ti: 01953] [Nu: 001] [Pa: 001]
     - .#0##000#.00001#0#.0#0#0011-S : [Fi: 0,17] [Ex: 00008,0] [Pr: 0,05] [PE: 0,02] [AS: 002,6] [Ti: 01701] [Nu: 001] [Pa: 001]
     - .##0000##.00100#0#.#1000#00-N : [Fi: 0,16] [Ex: 00004,0] [Pr: 0,04] [PE: 0,01] [AS: 001,5] [Ti: 01158] [Nu: 001] [Pa: 001]
     - .0##00000.1#0#1##0.00100000-W : [Fi: 0,16] [Ex: 00004,0] [Pr: 0,05] [PE: 0,00] [AS: 001,8] [Ti: 01568] [Nu: 001] [Pa: 001]
     - .#0#0#00#.10##0000.00###01#-E : [Fi: 0,15] [Ex: 00004,0] [Pr: 0,07] [PE: 0,00] [AS: 004,0] [Ti: 01948] [Nu: 002] [Pa: 001]
     - .1##00#00.1#001##0.##00#0#1-E : [Fi: 0,15] [Ex: 00003,0] [Pr: 1,00] [PE: 0,00] [AS: 001,3] [Ti: 01803] [Nu: 001] [Pa: 001]
     - .0000##0#.##0##011.000#10#0-W : [Fi: 0,15] [Ex: 00006,0] [Pr: 0,04] [PE: 0,01] [AS: 006,5] [Ti: 01907] [Nu: 001] [Pa: 001]
     - .00000000.001#00#1.0##01##0-N : [Fi: 0,14] [Ex: 00004,0] [Pr: 0,05] [PE: 0,02] [AS: 001,8] [Ti: 01652] [Nu: 002] [Pa: 001]
     - .000000#0.#0#010#0.1#001000-S : [Fi: 0,14] [Ex: 00008,0] [Pr: 0,04] [PE: 0,01] [AS: 008,8] [Ti: 01983] [Nu: 001] [Pa: 001]
