Best after 1999 steps

   > Averages:
   > Pre: 0.24230979897344046 Fit: 0.05122997929966961 Act: 14.603525362298376 Tss: 1430.5852713178294 Num: 516 Size: 468
     - .0##00000.#100##0#.001#1#0#-S : [Fi: 0,41] [Ex: 00010,0] [Pr: 0,18] [PE: 0,16] [AS: 001,0] [Ti: 00650] [Nu: 001] [Pa: 001]
     - .0000##00.11#00##0.00#0001#-W : [Fi: 0,31] [Ex: 00008,0] [Pr: 0,00] [PE: 0,00] [AS: 004,9] [Ti: 00769] [Nu: 001] [Pa: 001]
     - .000#0#00.1110000#.1##00#00-S : [Fi: 0,31] [Ex: 00007,0] [Pr: 0,17] [PE: 0,14] [AS: 001,0] [Ti: 00022] [Nu: 001] [Pa: 001]
     - .##0#0000.###0####.###0#000-W : [Fi: 0,29] [Ex: 00015,0] [Pr: 0,06] [PE: 0,05] [AS: 023,8] [Ti: 01991] [Nu: 001] [Pa: 001]
     - .#00###00.11000011.1###00#0-E : [Fi: 0,25] [Ex: 00009,0] [Pr: 0,25] [PE: 0,18] [AS: 004,7] [Ti: 01998] [Nu: 003] [Pa: 001]
     - .0000000#.1#######.#1#0#0##-N : [Fi: 0,23] [Ex: 00014,0] [Pr: 0,03] [PE: 0,03] [AS: 028,6] [Ti: 01844] [Nu: 001] [Pa: 001]
     - .0000100#.###0000#.11#0#000-N : [Fi: 0,22] [Ex: 00006,0] [Pr: 0,66] [PE: 0,19] [AS: 002,7] [Ti: 01536] [Nu: 001] [Pa: 001]
     - .0000000#.###0####.##0##0##-E : [Fi: 0,21] [Ex: 00027,0] [Pr: 0,03] [PE: 0,03] [AS: 021,4] [Ti: 01998] [Nu: 002] [Pa: 001]
     - .#0##001#.00#000#0.0#000010-W : [Fi: 0,20] [Ex: 00008,0] [Pr: 0,78] [PE: 0,17] [AS: 004,2] [Ti: 01808] [Nu: 001] [Pa: 001]
     - .#00010##.00100000.00##1#00-W : [Fi: 0,19] [Ex: 00004,0] [Pr: 0,78] [PE: 0,13] [AS: 001,0] [Ti: 01535] [Nu: 001] [Pa: 001]
     - .#1000#00.###0#000.00##0010-N : [Fi: 0,19] [Ex: 00004,0] [Pr: 0,94] [PE: 0,05] [AS: 001,2] [Ti: 00879] [Nu: 001] [Pa: 001]
     - .0#00001#.0##000#0.#0####00-W : [Fi: 0,19] [Ex: 00010,0] [Pr: 0,82] [PE: 0,17] [AS: 003,5] [Ti: 01963] [Nu: 002] [Pa: 001]
     - .0#001##0.001##000.0###00#0-N : [Fi: 0,19] [Ex: 00005,0] [Pr: 0,42] [PE: 0,20] [AS: 001,4] [Ti: 00749] [Nu: 001] [Pa: 001]
     - .##1#000#.1##0#0##.#00##00#-S : [Fi: 0,18] [Ex: 00019,0] [Pr: 0,74] [PE: 0,25] [AS: 006,4] [Ti: 01812] [Nu: 002] [Pa: 001]
     - .00000#00.#0###0#1.1000#0#0-N : [Fi: 0,18] [Ex: 00009,0] [Pr: 0,01] [PE: 0,01] [AS: 023,1] [Ti: 01994] [Nu: 002] [Pa: 001]
     - .00000000.10###01#.000####0-N : [Fi: 0,17] [Ex: 00011,0] [Pr: 0,02] [PE: 0,02] [AS: 025,0] [Ti: 01663] [Nu: 001] [Pa: 001]
     - .##10000#.0##0#000.#10000##-N : [Fi: 0,17] [Ex: 00013,0] [Pr: 0,53] [PE: 0,32] [AS: 003,4] [Ti: 01505] [Nu: 003] [Pa: 001]
     - .00###0##.10##0010.#01#0#00-W : [Fi: 0,16] [Ex: 00004,0] [Pr: 0,21] [PE: 0,07] [AS: 012,2] [Ti: 01991] [Nu: 001] [Pa: 001]
     - .00##0000.#0#00000.11####0#-E : [Fi: 0,16] [Ex: 00010,0] [Pr: 0,05] [PE: 0,06] [AS: 024,2] [Ti: 01633] [Nu: 001] [Pa: 001]
