Best after 1999 steps

   > Averages:
   > Pre: 0.05175830769541634 Fit: 0.05591604693460156 Act: 5.095426745215253 Tss: 1183.3934108527133 Num: 516 Size: 473
     - .#0#000#0.###0000#.00#00#0#-E : [Fi: 0,25] [Ex: 00007,0] [Pr: 0,02] [PE: 0,00] [AS: 003,1] [Ti: 01885] [Nu: 001] [Pa: 001]
     - .#0000###.0#100000.00#0#010-E : [Fi: 0,23] [Ex: 00005,0] [Pr: 0,01] [PE: 0,00] [AS: 001,0] [Ti: 00751] [Nu: 001] [Pa: 001]
     - .0##01000.1##00#00.0#1##00#-N : [Fi: 0,20] [Ex: 00006,0] [Pr: 0,03] [PE: 0,01] [AS: 002,0] [Ti: 01433] [Nu: 002] [Pa: 001]
     - .00#00000.###0#01#.##0000#0-N : [Fi: 0,20] [Ex: 00037,0] [Pr: 0,03] [PE: 0,01] [AS: 019,2] [Ti: 01986] [Nu: 004] [Pa: 001]
     - .#000##00.0#001#0#.0#000#1#-E : [Fi: 0,19] [Ex: 00004,0] [Pr: 0,01] [PE: 0,00] [AS: 001,0] [Ti: 00792] [Nu: 001] [Pa: 001]
     - .0##00000.##00#01#.00100#1#-N : [Fi: 0,19] [Ex: 00008,0] [Pr: 0,06] [PE: 0,04] [AS: 004,2] [Ti: 01645] [Nu: 001] [Pa: 001]
     - .#0000#00.#11000#0.#0#00000-N : [Fi: 0,18] [Ex: 00008,0] [Pr: 0,02] [PE: 0,00] [AS: 007,4] [Ti: 01826] [Nu: 002] [Pa: 001]
     - .00000000.#0#0001#.00###000-S : [Fi: 0,17] [Ex: 00031,0] [Pr: 0,02] [PE: 0,00] [AS: 016,5] [Ti: 01739] [Nu: 002] [Pa: 001]
     - .#000#000.00#0#0#0.110#00#0-W : [Fi: 0,17] [Ex: 00004,0] [Pr: 0,01] [PE: 0,00] [AS: 001,2] [Ti: 00711] [Nu: 001] [Pa: 001]
     - .000000#0.#10#1000.##0##00#-N : [Fi: 0,17] [Ex: 00009,0] [Pr: 0,02] [PE: 0,01] [AS: 008,2] [Ti: 01638] [Nu: 001] [Pa: 001]
