Best after 1999 steps

   > Averages:
   > Pre: 0.21314390433555536 Fit: 0.06866015269757562 Act: 4.628715540149962 Tss: 1004.1802325581396 Num: 516 Size: 484
     - .0#000###.##111#00.100#1111-E : [Fi: 0,49] [Ex: 00013,0] [Pr: 0,10] [PE: 0,03] [AS: 001,0] [Ti: 01234] [Nu: 001] [Pa: 001]
     - .00001000.0011#000.111##0#1-N : [Fi: 0,49] [Ex: 00013,0] [Pr: 1,00] [PE: 0,00] [AS: 001,0] [Ti: 01503] [Nu: 002] [Pa: 001]
     - .0000#0##.###1##11.110#1#00-N : [Fi: 0,46] [Ex: 00034,0] [Pr: 0,64] [PE: 0,20] [AS: 001,7] [Ti: 00948] [Nu: 001] [Pa: 001]
     - .00#00000.00####11.111#10##-S : [Fi: 0,44] [Ex: 00011,0] [Pr: 0,71] [PE: 0,00] [AS: 004,0] [Ti: 01480] [Nu: 001] [Pa: 001]
     - .##00001#.1###0000.1#1#11#1-N : [Fi: 0,36] [Ex: 00021,0] [Pr: 1,00] [PE: 0,00] [AS: 002,3] [Ti: 01190] [Nu: 002] [Pa: 001]
     - .00000000.0##0#00#.111#####-E : [Fi: 0,30] [Ex: 00023,0] [Pr: 0,12] [PE: 0,02] [AS: 021,2] [Ti: 01966] [Nu: 001] [Pa: 001]
     - .00000000.000##00#.111#####-W : [Fi: 0,29] [Ex: 00026,0] [Pr: 0,12] [PE: 0,03] [AS: 006,1] [Ti: 01324] [Nu: 001] [Pa: 001]
     - .00000000.#0#01#0#.##1#01##-S : [Fi: 0,27] [Ex: 00019,0] [Pr: 0,11] [PE: 0,01] [AS: 014,9] [Ti: 01954] [Nu: 001] [Pa: 001]
     - .0000#0##.###1##1#.110#1#00-N : [Fi: 0,27] [Ex: 00010,0] [Pr: 0,38] [PE: 0,10] [AS: 002,8] [Ti: 00998] [Nu: 001] [Pa: 001]
     - .00#00000.100000#0.#000111#-W : [Fi: 0,24] [Ex: 00010,0] [Pr: 0,12] [PE: 0,02] [AS: 002,6] [Ti: 01359] [Nu: 001] [Pa: 001]
     - .###0#0#0.##000#0#.#0#0000#-N : [Fi: 0,23] [Ex: 00012,0] [Pr: 0,63] [PE: 0,31] [AS: 002,8] [Ti: 01033] [Nu: 001] [Pa: 001]
     - .00#00000.###1##11.110#1#00-N : [Fi: 0,23] [Ex: 00009,0] [Pr: 0,41] [PE: 0,09] [AS: 003,0] [Ti: 00948] [Nu: 001] [Pa: 001]
     - .00000000.#0000##0.1###1###-S : [Fi: 0,23] [Ex: 00022,0] [Pr: 0,10] [PE: 0,01] [AS: 017,8] [Ti: 01988] [Nu: 001] [Pa: 001]
     - .000##000.1010000#.#0000#10-N : [Fi: 0,22] [Ex: 00006,0] [Pr: 0,42] [PE: 0,30] [AS: 001,2] [Ti: 00393] [Nu: 001] [Pa: 001]
     - .00#01000.1#0#0#00.###111##-E : [Fi: 0,22] [Ex: 00010,0] [Pr: 1,00] [PE: 0,00] [AS: 003,1] [Ti: 01753] [Nu: 001] [Pa: 001]
     - .0000#000.##000#0#.#10#1##1-W : [Fi: 0,20] [Ex: 00004,0] [Pr: 0,08] [PE: 0,00] [AS: 003,0] [Ti: 01340] [Nu: 001] [Pa: 001]
     - .####000#.##000#0#.#10#1##1-W : [Fi: 0,20] [Ex: 00010,0] [Pr: 0,11] [PE: 0,03] [AS: 001,9] [Ti: 01340] [Nu: 002] [Pa: 001]
     - .#0000000.###0#000.####1###-E : [Fi: 0,20] [Ex: 00009,0] [Pr: 0,10] [PE: 0,01] [AS: 022,2] [Ti: 01989] [Nu: 001] [Pa: 001]
     - .#0#00000.##0#0##0.##0##111-E : [Fi: 0,20] [Ex: 00014,0] [Pr: 0,10] [PE: 0,01] [AS: 017,1] [Ti: 01957] [Nu: 001] [Pa: 001]
     - .000000#0.#00#0##0.1#0#1#11-E : [Fi: 0,20] [Ex: 00014,0] [Pr: 0,10] [PE: 0,01] [AS: 017,1] [Ti: 01957] [Nu: 001] [Pa: 001]
     - .00001000.11####00.#111###0-N : [Fi: 0,19] [Ex: 00004,0] [Pr: 1,00] [PE: 0,00] [AS: 001,0] [Ti: 00099] [Nu: 001] [Pa: 001]
     - .000#0000.1100001#.1####1##-W : [Fi: 0,19] [Ex: 00004,0] [Pr: 0,03] [PE: 0,00] [AS: 001,0] [Ti: 00190] [Nu: 001] [Pa: 001]
     - .100000#0.#0000###.1#1##1#1-N : [Fi: 0,19] [Ex: 00004,0] [Pr: 1,00] [PE: 0,00] [AS: 001,0] [Ti: 01929] [Nu: 001] [Pa: 001]
     - .#0000000.###000##.1#11#111-S : [Fi: 0,19] [Ex: 00010,0] [Pr: 0,11] [PE: 0,01] [AS: 018,0] [Ti: 01977] [Nu: 002] [Pa: 001]
     - .00000000.#0#01###.##1##1##-S : [Fi: 0,19] [Ex: 00010,0] [Pr: 0,10] [PE: 0,01] [AS: 017,7] [Ti: 01954] [Nu: 001] [Pa: 001]
     - .000#0000.##0010##.11###0#1-S : [Fi: 0,19] [Ex: 00006,0] [Pr: 0,03] [PE: 0,00] [AS: 001,8] [Ti: 00243] [Nu: 002] [Pa: 001]
     - .0000###0.1100#01#.#0001##1-W : [Fi: 0,19] [Ex: 00005,0] [Pr: 0,11] [PE: 0,01] [AS: 001,4] [Ti: 00834] [Nu: 001] [Pa: 001]
     - .000000#0.0#10#100.1#10101#-W : [Fi: 0,18] [Ex: 00005,0] [Pr: 0,07] [PE: 0,02] [AS: 002,2] [Ti: 00858] [Nu: 001] [Pa: 001]
     - .000000##.00#0#000.0###1000-S : [Fi: 0,17] [Ex: 00013,0] [Pr: 0,11] [PE: 0,02] [AS: 003,5] [Ti: 01457] [Nu: 001] [Pa: 001]
     - .000000#0.0#00#100.1###1#11-W : [Fi: 0,17] [Ex: 00005,0] [Pr: 0,04] [PE: 0,01] [AS: 001,8] [Ti: 00564] [Nu: 001] [Pa: 001]
     - .0000#0##.0#1#001#.#1#01#1#-W : [Fi: 0,17] [Ex: 00004,0] [Pr: 0,17] [PE: 0,05] [AS: 001,2] [Ti: 01439] [Nu: 002] [Pa: 001]
     - .#00#0###.##000000.1##0#111-W : [Fi: 0,17] [Ex: 00006,0] [Pr: 0,03] [PE: 0,01] [AS: 002,5] [Ti: 00359] [Nu: 002] [Pa: 001]
     - .0#000000.###0#0##.##10####-E : [Fi: 0,15] [Ex: 00013,0] [Pr: 0,12] [PE: 0,03] [AS: 009,8] [Ti: 01989] [Nu: 001] [Pa: 001]
     - .#000##10.#1#0#00#.11##0#10-N : [Fi: 0,15] [Ex: 00003,0] [Pr: 1,00] [PE: 0,00] [AS: 001,0] [Ti: 00098] [Nu: 001] [Pa: 001]
     - .#000000#.#00000#0.##0#1#00-W : [Fi: 0,15] [Ex: 00003,0] [Pr: 0,02] [PE: 0,00] [AS: 001,0] [Ti: 00340] [Nu: 001] [Pa: 001]
     - .#0#00#00.001###00.11##0010-W : [Fi: 0,15] [Ex: 00003,0] [Pr: 0,05] [PE: 0,00] [AS: 001,0] [Ti: 00474] [Nu: 001] [Pa: 001]
     - .0000100#.0#001#1#.11#00#11-W : [Fi: 0,15] [Ex: 00003,0] [Pr: 1,00] [PE: 0,00] [AS: 001,0] [Ti: 00730] [Nu: 001] [Pa: 001]
     - .00#0000#.1#10##00.1#1#1#10-S : [Fi: 0,15] [Ex: 00003,0] [Pr: 0,16] [PE: 0,05] [AS: 001,0] [Ti: 00872] [Nu: 001] [Pa: 001]
     - .00#00000.#0100011.1#11101#-S : [Fi: 0,15] [Ex: 00003,0] [Pr: 0,13] [PE: 0,00] [AS: 001,0] [Ti: 00894] [Nu: 001] [Pa: 001]
     - .000#000#.00#0#100.11#1101#-W : [Fi: 0,15] [Ex: 00003,0] [Pr: 0,13] [PE: 0,01] [AS: 001,0] [Ti: 01127] [Nu: 001] [Pa: 001]
     - .#0000##0.#1110###.#1#01111-N : [Fi: 0,15] [Ex: 00003,0] [Pr: 0,39] [PE: 0,04] [AS: 001,0] [Ti: 01212] [Nu: 001] [Pa: 001]
     - .#00#000#.0#100##0.000##1#1-S : [Fi: 0,15] [Ex: 00003,0] [Pr: 0,14] [PE: 0,03] [AS: 001,0] [Ti: 01335] [Nu: 001] [Pa: 001]
     - .#00000#0.0##0#011.1#001#1#-S : [Fi: 0,15] [Ex: 00016,0] [Pr: 0,24] [PE: 0,16] [AS: 003,8] [Ti: 00860] [Nu: 001] [Pa: 001]
