Best after 9999 steps

   > Averages:
   > Pre: 0.07639882928355449 Fit: 0.05764214963670623 Act: 4.845043117934201 Tss: 7315.551059730251 Num: 519 Size: 441
     - .00#000##.##00#0##.101100##-E : [Fi: 0,41] [Ex: 00010,0] [Pr: 0,04] [PE: 0,01] [AS: 001,0] [Ti: 09311] [Nu: 001] [Pa: 001]
     - .10000000.00#01#10.101111#1-E : [Fi: 0,34] [Ex: 00008,0] [Pr: 0,04] [PE: 0,01] [AS: 001,0] [Ti: 09640] [Nu: 001] [Pa: 001]
     - .##0#00#0.#0#010##.11#0###1-W : [Fi: 0,31] [Ex: 00024,0] [Pr: 0,02] [PE: 0,01] [AS: 002,7] [Ti: 08988] [Nu: 002] [Pa: 001]
     - .00#0###0.#0##0#00.#10#1100-S : [Fi: 0,29] [Ex: 00033,0] [Pr: 0,02] [PE: 0,01] [AS: 004,8] [Ti: 09861] [Nu: 002] [Pa: 001]
     - .#00#0000.#1000000.1110001#-S : [Fi: 0,28] [Ex: 00007,0] [Pr: 0,03] [PE: 0,01] [AS: 001,3] [Ti: 07599] [Nu: 001] [Pa: 001]
     - .00##0##0.#0#010#0.10111###-E : [Fi: 0,26] [Ex: 00053,0] [Pr: 0,02] [PE: 0,01] [AS: 004,6] [Ti: 09701] [Nu: 002] [Pa: 001]
     - .#00#0000.##1##01#.10#01##0-W : [Fi: 0,25] [Ex: 00011,0] [Pr: 0,03] [PE: 0,01] [AS: 006,5] [Ti: 09956] [Nu: 001] [Pa: 001]
     - .#0000000.10100#1#.###0#0##-E : [Fi: 0,23] [Ex: 00007,0] [Pr: 0,03] [PE: 0,01] [AS: 005,4] [Ti: 09710] [Nu: 001] [Pa: 001]
     - .##000000.1110#0#0.1#001#1#-W : [Fi: 0,22] [Ex: 00007,0] [Pr: 0,04] [PE: 0,01] [AS: 002,1] [Ti: 08304] [Nu: 001] [Pa: 001]
     - .00000000.00000010.0###0#0#-E : [Fi: 0,21] [Ex: 00040,0] [Pr: 0,02] [PE: 0,01] [AS: 005,1] [Ti: 09844] [Nu: 002] [Pa: 001]
     - .10#000#0.0#100000.10#0101#-N : [Fi: 0,21] [Ex: 00005,0] [Pr: 0,31] [PE: 0,17] [AS: 001,2] [Ti: 08332] [Nu: 002] [Pa: 001]
     - .00000000.0#000010.0###010#-E : [Fi: 0,20] [Ex: 00039,0] [Pr: 0,02] [PE: 0,01] [AS: 005,2] [Ti: 09844] [Nu: 002] [Pa: 001]
     - .100#0000.0#00##0#.##1#10##-N : [Fi: 0,19] [Ex: 00007,0] [Pr: 0,05] [PE: 0,01] [AS: 003,0] [Ti: 09331] [Nu: 001] [Pa: 001]
     - .0000##00.0#0###11.##1#1110-W : [Fi: 0,19] [Ex: 00004,0] [Pr: 0,05] [PE: 0,01] [AS: 001,0] [Ti: 08455] [Nu: 001] [Pa: 001]
     - .00#00###.0000001#.11001100-S : [Fi: 0,19] [Ex: 00007,0] [Pr: 0,03] [PE: 0,01] [AS: 002,3] [Ti: 09823] [Nu: 002] [Pa: 001]
     - .#000#000.#10#10#0.1###00#1-E : [Fi: 0,19] [Ex: 00006,0] [Pr: 0,04] [PE: 0,01] [AS: 004,2] [Ti: 08968] [Nu: 001] [Pa: 001]
     - .10#0##00.#00#0###.00##101#-N : [Fi: 0,19] [Ex: 00006,0] [Pr: 0,03] [PE: 0,01] [AS: 004,5] [Ti: 09327] [Nu: 001] [Pa: 001]
     - .##0##000.1#####00.0##00#10-W : [Fi: 0,16] [Ex: 00008,0] [Pr: 0,04] [PE: 0,01] [AS: 002,9] [Ti: 09853] [Nu: 001] [Pa: 001]
     - .10000000.0##0##0#.##1##0##-N : [Fi: 0,16] [Ex: 00014,0] [Pr: 0,06] [PE: 0,02] [AS: 003,0] [Ti: 09858] [Nu: 001] [Pa: 001]
     - .000000#0.1#00#0##.#01#0###-E : [Fi: 0,16] [Ex: 00025,0] [Pr: 0,02] [PE: 0,01] [AS: 010,4] [Ti: 09890] [Nu: 002] [Pa: 001]
     - .#000000#.00#01010.###0101#-E : [Fi: 0,16] [Ex: 00014,0] [Pr: 0,05] [PE: 0,02] [AS: 016,7] [Ti: 09917] [Nu: 001] [Pa: 001]
     - .0#0###10.#1#0#0##.1#10#010-S : [Fi: 0,15] [Ex: 00003,0] [Pr: 0,05] [PE: 0,02] [AS: 001,7] [Ti: 09766] [Nu: 002] [Pa: 001]
     - .#100000#.00##0#00.100000#0-S : [Fi: 0,15] [Ex: 00003,0] [Pr: 1,00] [PE: 0,00] [AS: 002,3] [Ti: 09144] [Nu: 001] [Pa: 001]
     - .#000##00.0000001#.#01###00-E : [Fi: 0,15] [Ex: 00007,0] [Pr: 0,04] [PE: 0,01] [AS: 006,9] [Ti: 09822] [Nu: 001] [Pa: 001]
     - .####000#.1#00#00#.0##0#1#0-W : [Fi: 0,15] [Ex: 00006,0] [Pr: 0,03] [PE: 0,01] [AS: 004,8] [Ti: 09882] [Nu: 001] [Pa: 001]
     - .0#000000.#####0##.#####01#-W : [Fi: 0,15] [Ex: 00059,0] [Pr: 0,02] [PE: 0,01] [AS: 014,4] [Ti: 09838] [Nu: 005] [Pa: 001]
     - .100000##.0000#0##.#0#010#0-W : [Fi: 0,14] [Ex: 00004,0] [Pr: 0,04] [PE: 0,01] [AS: 001,8] [Ti: 09718] [Nu: 001] [Pa: 001]
     - .001000##.0#0000##.#0101##0-E : [Fi: 0,14] [Ex: 00013,0] [Pr: 0,10] [PE: 0,06] [AS: 005,5] [Ti: 09916] [Nu: 003] [Pa: 001]
     - .100###00.#000###0.1#101#0#-W : [Fi: 0,14] [Ex: 00007,0] [Pr: 0,03] [PE: 0,01] [AS: 002,4] [Ti: 09882] [Nu: 002] [Pa: 001]
     - .#000#01#.#0#000#0.10#0#0##-S : [Fi: 0,14] [Ex: 00005,0] [Pr: 0,07] [PE: 0,04] [AS: 002,2] [Ti: 09250] [Nu: 002] [Pa: 001]
     - .0##0000#.110#101#.10#0#0#0-E : [Fi: 0,14] [Ex: 00005,0] [Pr: 0,08] [PE: 0,06] [AS: 011,2] [Ti: 09954] [Nu: 001] [Pa: 001]
     - .00000000.11#0#01#.########-W : [Fi: 0,13] [Ex: 00003,0] [Pr: 0,02] [PE: 0,00] [AS: 001,3] [Ti: 09969] [Nu: 001] [Pa: 001]
     - .0#1#0000.##001#00.#0#0001#-N : [Fi: 0,13] [Ex: 00006,0] [Pr: 0,36] [PE: 0,30] [AS: 002,2] [Ti: 09083] [Nu: 001] [Pa: 001]
     - .0##0100#.000##000.10##1###-W : [Fi: 0,13] [Ex: 00003,0] [Pr: 0,02] [PE: 0,00] [AS: 001,7] [Ti: 08622] [Nu: 001] [Pa: 001]
     - .10000#00.###0##00.001#1010-W : [Fi: 0,13] [Ex: 00003,0] [Pr: 0,05] [PE: 0,01] [AS: 001,3] [Ti: 09147] [Nu: 001] [Pa: 001]
     - .1#0#00#0.00000#00.##0##00#-N : [Fi: 0,13] [Ex: 00003,0] [Pr: 1,00] [PE: 0,00] [AS: 001,3] [Ti: 08835] [Nu: 001] [Pa: 001]
     - .100000#0.#1000#00.11#01#11-W : [Fi: 0,13] [Ex: 00003,0] [Pr: 0,02] [PE: 0,00] [AS: 001,3] [Ti: 09412] [Nu: 002] [Pa: 001]
     - .0##00#00.00001##0.11001111-N : [Fi: 0,13] [Ex: 00005,0] [Pr: 0,03] [PE: 0,01] [AS: 004,4] [Ti: 09978] [Nu: 002] [Pa: 001]
     - .##00000#.#0001##1.101####0-E : [Fi: 0,12] [Ex: 00007,0] [Pr: 0,03] [PE: 0,01] [AS: 015,4] [Ti: 09760] [Nu: 001] [Pa: 001]
     - .1#0#0000.#0##0#00.1#111010-N : [Fi: 0,12] [Ex: 00004,0] [Pr: 0,69] [PE: 0,26] [AS: 002,2] [Ti: 08833] [Nu: 001] [Pa: 001]
